Species	Symbol	Ensembl	Family	Protein	Entrez ID
Sus_scrofa	FEZF2	ENSSSCG00000011487	zf-C2H2	ENSSSCP00000022514;ENSSSCP00000012241;	100518806
Sus_scrofa	ZNF70	ENSSSCG00000010076	zf-C2H2	ENSSSCP00000010749;	100157565
Sus_scrofa	ZBTB49	ENSSSCG00000008728	ZBTB	ENSSSCP00000009303;ENSSSCP00000009303;	100524264
Sus_scrofa	FOXA2	ENSSSCG00000007114	Fork_head	ENSSSCP00000035009;ENSSSCP00000007577;	100513828
Sus_scrofa	VAX1	ENSSSCG00000010666	Homeobox	ENSSSCP00000011365;	100157019
Sus_scrofa	-	ENSSSCG00000029420	zf-C2H2	ENSSSCP00000003176;	102164889
Sus_scrofa	-	ENSSSCG00000038588	HMG	ENSSSCP00000036724;	100623257
Sus_scrofa	ZNF641	ENSSSCG00000021654	zf-C2H2	ENSSSCP00000021970;	100512413
Sus_scrofa	ZBTB43	ENSSSCG00000032752	ZBTB	ENSSSCP00000039631;ENSSSCP00000039631;ENSSSCP00000056122;	100627923
Sus_scrofa	ZNF646	ENSSSCG00000026817	zf-C2H2	ENSSSCP00000038859;ENSSSCP00000021928;	100523240
Sus_scrofa	NR2E1	ENSSSCG00000004384	RXR-like	ENSSSCP00000027620;	100155153
Sus_scrofa	NSD2	ENSSSCG00000008682	HMG	ENSSSCP00000009255;ENSSSCP00000009254;ENSSSCP00000040233;	100515039
Sus_scrofa	-	ENSSSCG00000002938	zf-C2H2	ENSSSCP00000003179;	-
Sus_scrofa	RUNX3	ENSSSCG00000032686	Runt	ENSSSCP00000050466;	100622884
Sus_scrofa	-	ENSSSCG00000032606	zf-C2H2	ENSSSCP00000047965;	100620869
Sus_scrofa	-	ENSSSCG00000032978	zf-C2H2	ENSSSCP00000058168;ENSSSCP00000036529;ENSSSCP00000050787;	-
Sus_scrofa	ZMIZ1	ENSSSCG00000010329	zf-MIZ	ENSSSCP00000011015;	100153816
Sus_scrofa	-	ENSSSCG00000031889	HMG	ENSSSCP00000040343;	100155811
Sus_scrofa	NFYA	ENSSSCG00000001611	NF-YA	ENSSSCP00000001745;ENSSSCP00000001734;ENSSSCP00000033096;ENSSSCP00000038604;ENSSSCP00000025155;	100151920
Sus_scrofa	TGIF2	ENSSSCG00000036002	Homeobox	ENSSSCP00000040218;ENSSSCP00000040396;	110257437
Sus_scrofa	ZBTB8A	ENSSSCG00000021457	ZBTB	ENSSSCP00000020753;ENSSSCP00000020753;ENSSSCP00000049482;ENSSSCP00000049482;ENSSSCP00000048438;ENSSSCP00000048438;	100620574
Sus_scrofa	ARID5B	ENSSSCG00000010219	ARID	ENSSSCP00000010895;ENSSSCP00000038570;	100622249
Sus_scrofa	RBPJ	ENSSSCG00000022155	CSL	ENSSSCP00000055469;ENSSSCP00000022090;ENSSSCP00000055798;ENSSSCP00000043604;ENSSSCP00000038442;ENSSSCP00000038124;	100518262
Sus_scrofa	-	ENSSSCG00000033218	MH1	ENSSSCP00000052828;	-
Sus_scrofa	ZFP14	ENSSSCG00000032673	zf-C2H2	ENSSSCP00000056273;ENSSSCP00000048745;ENSSSCP00000040791;	102162711
Sus_scrofa	NFYC	ENSSSCG00000003976	NF-YC	ENSSSCP00000040904;ENSSSCP00000055560;ENSSSCP00000004298;ENSSSCP00000049997;ENSSSCP00000038815;ENSSSCP00000043257;ENSSSCP00000031199;ENSSSCP00000057608;ENSSSCP00000042099;ENSSSCP00000031348;	100525647
Sus_scrofa	-	ENSSSCG00000003043	DM	ENSSSCP00000003297;	100518666
Sus_scrofa	TCFL5	ENSSSCG00000038631	bHLH	ENSSSCP00000048205;	100620700
Sus_scrofa	BATF	ENSSSCG00000030582	TF_bZIP	ENSSSCP00000023231;	100624723
Sus_scrofa	-	ENSSSCG00000032730	HSF	ENSSSCP00000059579;	-
Sus_scrofa	PRDM2	ENSSSCG00000020710	zf-C2H2	ENSSSCP00000026256;ENSSSCP00000042980;	-
Sus_scrofa	-	ENSSSCG00000003741	zf-C2H2	ENSSSCP00000049619;ENSSSCP00000004049;ENSSSCP00000042769;ENSSSCP00000031312;	102164512
Sus_scrofa	ISL2	ENSSSCG00000033348	Homeobox	ENSSSCP00000054636;	110261563
Sus_scrofa	CSDE1	ENSSSCG00000006752	CSD	ENSSSCP00000050736;ENSSSCP00000007202;ENSSSCP00000057604;ENSSSCP00000053136;ENSSSCP00000036468;	100739316
Sus_scrofa	-	ENSSSCG00000036222	THR-like	ENSSSCP00000038865;	-
Sus_scrofa	ZNF584	ENSSSCG00000004004	zf-C2H2	ENSSSCP00000004326;	100519782
Sus_scrofa	ZNF41	ENSSSCG00000039997	zf-C2H2	ENSSSCP00000042798;ENSSSCP00000044341;ENSSSCP00000032213;ENSSSCP00000058875;	110257781
Sus_scrofa	-	ENSSSCG00000008892	zf-C2H2	ENSSSCP00000009484;ENSSSCP00000009440;ENSSSCP00000009437;ENSSSCP00000042192;ENSSSCP00000033027;	110262090
Sus_scrofa	GBX2	ENSSSCG00000016319	Homeobox	ENSSSCP00000017291;	100514608
Sus_scrofa	ZNF383	ENSSSCG00000021946	zf-C2H2	ENSSSCP00000035961;ENSSSCP00000052317;ENSSSCP00000042334;ENSSSCP00000039890;ENSSSCP00000047404;ENSSSCP00000022845;ENSSSCP00000034180;ENSSSCP00000003168;	106510535
Sus_scrofa	THAP2	ENSSSCG00000021270	THAP	ENSSSCP00000024981;	100152778
Sus_scrofa	NR3C1	ENSSSCG00000014401	ESR-like	ENSSSCP00000015324;ENSSSCP00000028574;ENSSSCP00000057992;ENSSSCP00000056535;ENSSSCP00000046572;ENSSSCP00000043011;ENSSSCP00000051794;	396740
Sus_scrofa	REV1	ENSSSCG00000008179	AF-4	ENSSSCP00000008729;ENSSSCP00000041334;ENSSSCP00000008730;	100522795
Sus_scrofa	-	ENSSSCG00000008066	zf-C2H2	ENSSSCP00000049889;ENSSSCP00000008615;ENSSSCP00000039709;ENSSSCP00000046254;ENSSSCP00000054108;ENSSSCP00000034347;	100624662
Sus_scrofa	CREB3	ENSSSCG00000005318	TF_bZIP	ENSSSCP00000031632;ENSSSCP00000005712;	100142689
Sus_scrofa	IRF8	ENSSSCG00000034980	IRF	ENSSSCP00000047082;ENSSSCP00000058210;	396645
Sus_scrofa	AHRR	ENSSSCG00000032843	bHLH	ENSSSCP00000044912;	100624847
Sus_scrofa	ZNF131	ENSSSCG00000040959	ZBTB	ENSSSCP00000042862;ENSSSCP00000042862;ENSSSCP00000033568;ENSSSCP00000033568;ENSSSCP00000031581;ENSSSCP00000031581;ENSSSCP00000056186;ENSSSCP00000056186;ENSSSCP00000041908;ENSSSCP00000032100;	102159255
Sus_scrofa	AFF4	ENSSSCG00000014291	AF-4	ENSSSCP00000052511;ENSSSCP00000015202;ENSSSCP00000053322;ENSSSCP00000020038;	100524487
Sus_scrofa	HOXC8	ENSSSCG00000038644	Homeobox	ENSSSCP00000034272;	100739594
Sus_scrofa	NR0B2	ENSSSCG00000003565	Miscellaneous	ENSSSCP00000003868;	100526226
Sus_scrofa	-	ENSSSCG00000021322	zf-C2H2	ENSSSCP00000058263;ENSSSCP00000057273;ENSSSCP00000024796;	397294
Sus_scrofa	SP4	ENSSSCG00000015378	zf-C2H2	ENSSSCP00000051097;ENSSSCP00000055311;ENSSSCP00000041846;	100620437
Sus_scrofa	-	ENSSSCG00000014233	zf-C2H2	ENSSSCP00000015139;	100525452
Sus_scrofa	-	ENSSSCG00000036748	zf-C2H2	ENSSSCP00000003159;ENSSSCP00000050092;	-
Sus_scrofa	FOXO6	ENSSSCG00000035074	Fork_head	ENSSSCP00000043014;	110261252
Sus_scrofa	KLF16	ENSSSCG00000024672	zf-C2H2	ENSSSCP00000021635;	100302638
Sus_scrofa	TEAD2	ENSSSCG00000025568	TEA	ENSSSCP00000050308;ENSSSCP00000034524;ENSSSCP00000045965;ENSSSCP00000023757;	100625350
Sus_scrofa	ZFP36L1	ENSSSCG00000028304	zf-CCCH	ENSSSCP00000032498;ENSSSCP00000021296;	100624279
Sus_scrofa	TCF7L2	ENSSSCG00000010638	HMG	ENSSSCP00000054428;ENSSSCP00000039299;ENSSSCP00000036115;ENSSSCP00000034737;ENSSSCP00000011333;ENSSSCP00000037461;ENSSSCP00000033418;	100153922
Sus_scrofa	description:high	ENSSSCG00000005101	HMGA	ENSSSCP00000005482;	100359361
Sus_scrofa	LMX1B	ENSSSCG00000035968	Homeobox	ENSSSCP00000035301;	100157562
Sus_scrofa	GLI3	ENSSSCG00000016763	zf-C2H2	ENSSSCP00000017756;ENSSSCP00000017754;ENSSSCP00000048682;	100516888
Sus_scrofa	ZNF16	ENSSSCG00000034031	zf-C2H2	ENSSSCP00000044004;ENSSSCP00000035937;	-
Sus_scrofa	SIX1	ENSSSCG00000005087	Homeobox	ENSSSCP00000005467;	100156847
Sus_scrofa	ID2	ENSSSCG00000008645	bHLH	ENSSSCP00000009215;ENSSSCP00000057278;	654298
Sus_scrofa	NFX1	ENSSSCG00000010994	zf-NF-X1	ENSSSCP00000011727;	100512854
Sus_scrofa	ZNF414	ENSSSCG00000033902	zf-C2H2	ENSSSCP00000040735;	-
Sus_scrofa	-	ENSSSCG00000040187	zf-C2H2	ENSSSCP00000032683;	106508100
Sus_scrofa	DMBX1	ENSSSCG00000003900	Homeobox	ENSSSCP00000004215;ENSSSCP00000057245;	100524381
Sus_scrofa	OVOL2	ENSSSCG00000036377	zf-C2H2	ENSSSCP00000049083;	100526083
Sus_scrofa	HNF4G	ENSSSCG00000034242	RXR-like	ENSSSCP00000051364;ENSSSCP00000051874;ENSSSCP00000041101;ENSSSCP00000031420;ENSSSCP00000038727;	110260272
Sus_scrofa	ZNF787	ENSSSCG00000003317	zf-C2H2	ENSSSCP00000031286;ENSSSCP00000003596;	100521379
Sus_scrofa	NFIC	ENSSSCG00000036537	CTF/NFI	ENSSSCP00000049386;ENSSSCP00000041690;ENSSSCP00000035783;ENSSSCP00000037666;ENSSSCP00000038837;ENSSSCP00000039735;	100737330
Sus_scrofa	ZNF132	ENSSSCG00000027987	zf-C2H2	ENSSSCP00000024650;	-
Sus_scrofa	-	ENSSSCG00000040433	zf-C2H2	ENSSSCP00000044008;ENSSSCP00000048455;ENSSSCP00000038970;	-
Sus_scrofa	TBX15	ENSSSCG00000006725	T-box	ENSSSCP00000007171;	100158194
Sus_scrofa	DBX2	ENSSSCG00000035938	Homeobox	ENSSSCP00000033668;ENSSSCP00000045489;ENSSSCP00000051660;	100738507
Sus_scrofa	-	ENSSSCG00000032873	HSF	ENSSSCP00000054173;	110257899
Sus_scrofa	SOX11	ENSSSCG00000008649	HMG	ENSSSCP00000009219;	100514639
Sus_scrofa	ETV1	ENSSSCG00000024591	ETS	ENSSSCP00000033969;ENSSSCP00000046559;ENSSSCP00000027913;ENSSSCP00000058245;ENSSSCP00000034276;	100513560
Sus_scrofa	ZSCAN25	ENSSSCG00000039842	zf-C2H2	ENSSSCP00000042029;	110259853
Sus_scrofa	RFX1	ENSSSCG00000013764	RFX	ENSSSCP00000044574;ENSSSCP00000053398;ENSSSCP00000047397;ENSSSCP00000014633;	100511439
Sus_scrofa	BATF2	ENSSSCG00000023178	TF_bZIP	ENSSSCP00000027956;	100515875
Sus_scrofa	ZNF467	ENSSSCG00000039041	zf-C2H2	ENSSSCP00000033285;	100623053
Sus_scrofa	POU4F3	ENSSSCG00000014412	Pou	ENSSSCP00000015335;	100510953
Sus_scrofa	OTP	ENSSSCG00000014099	Homeobox	ENSSSCP00000035413;ENSSSCP00000014992;	-
Sus_scrofa	LRRFIP2	ENSSSCG00000027738	LRRFIP	ENSSSCP00000037273;ENSSSCP00000055375;ENSSSCP00000040464;ENSSSCP00000053669;ENSSSCP00000045708;ENSSSCP00000052746;ENSSSCP00000046020;ENSSSCP00000048851;ENSSSCP00000025615;ENSSSCP00000022538;	100626059
Sus_scrofa	OSR1	ENSSSCG00000008606	zf-C2H2	ENSSSCP00000035984;ENSSSCP00000026531;ENSSSCP00000038635;ENSSSCP00000033614;	100520131
Sus_scrofa	PAX2	ENSSSCG00000010556	PAX	ENSSSCP00000031239;ENSSSCP00000011246;ENSSSCP00000032247;	100515585
Sus_scrofa	NR2E3	ENSSSCG00000004978	RXR-like	ENSSSCP00000005353;ENSSSCP00000032139;	-
Sus_scrofa	IKZF2	ENSSSCG00000016164	zf-C2H2	ENSSSCP00000053815;ENSSSCP00000043031;ENSSSCP00000044460;ENSSSCP00000048267;ENSSSCP00000037334;ENSSSCP00000017122;ENSSSCP00000052561;ENSSSCP00000038954;	100737978
Sus_scrofa	ZNF322	ENSSSCG00000001156	zf-C2H2	ENSSSCP00000001225;ENSSSCP00000058187;	100154074
Sus_scrofa	CDIP1	ENSSSCG00000007941	zf-LITAF-like	ENSSSCP00000008479;ENSSSCP00000031388;ENSSSCP00000048356;ENSSSCP00000040499;	100512098
Sus_scrofa	CBFB	ENSSSCG00000033811	CBF	ENSSSCP00000035857;ENSSSCP00000037254;	110260942
Sus_scrofa	DLX1	ENSSSCG00000015953	Homeobox	ENSSSCP00000016905;ENSSSCP00000036907;	100522648
Sus_scrofa	FOXN1	ENSSSCG00000017762	Fork_head	ENSSSCP00000018821;ENSSSCP00000024243;	100625164
Sus_scrofa	ZNF550	ENSSSCG00000035387	zf-C2H2	ENSSSCP00000036309;ENSSSCP00000056876;	110261325
Sus_scrofa	HOXA3	ENSSSCG00000016705	Homeobox	ENSSSCP00000017695;ENSSSCP00000053177;	100519809
Sus_scrofa	ZSCAN31	ENSSSCG00000025335	zf-C2H2	ENSSSCP00000026437;	110255253
Sus_scrofa	GATA1	ENSSSCG00000027237	zf-GATA	ENSSSCP00000022387;	100620659
Sus_scrofa	-	ENSSSCG00000033390	zf-C2H2	ENSSSCP00000034596;ENSSSCP00000055408;	-
Sus_scrofa	ZNF140	ENSSSCG00000032144	zf-C2H2	ENSSSCP00000051487;ENSSSCP00000058560;	110256670
Sus_scrofa	NR4A1	ENSSSCG00000031321	NGFIB-like	ENSSSCP00000045474;ENSSSCP00000050054;ENSSSCP00000057628;	-
Sus_scrofa	ZNF282	ENSSSCG00000016773	zf-C2H2	ENSSSCP00000017768;ENSSSCP00000032653;	100520117
Sus_scrofa	HOXA2	ENSSSCG00000016706	Homeobox	ENSSSCP00000017696;	100519993
Sus_scrofa	ZMAT3	ENSSSCG00000033860	zf-C2H2	ENSSSCP00000054806;ENSSSCP00000048386;ENSSSCP00000024426;ENSSSCP00000033972;	100621584
Sus_scrofa	FOSL1	ENSSSCG00000012967	TF_bZIP	ENSSSCP00000056518;ENSSSCP00000013788;	100525205
Sus_scrofa	TULP4	ENSSSCG00000031776	Tub	ENSSSCP00000048773;	100627260
Sus_scrofa	ZNF696	ENSSSCG00000006959	zf-C2H2	ENSSSCP00000007421;	-
Sus_scrofa	-	ENSSSCG00000027675	Fork_head	ENSSSCP00000012273;ENSSSCP00000027197;ENSSSCP00000054059;ENSSSCP00000052006;ENSSSCP00000044563;	100525716
Sus_scrofa	-	ENSSSCG00000010513	HTH	ENSSSCP00000033166;ENSSSCP00000011200;ENSSSCP00000055962;	100627422
Sus_scrofa	ZBTB44	ENSSSCG00000015247	ZBTB	ENSSSCP00000038731;ENSSSCP00000038731;ENSSSCP00000026753;ENSSSCP00000056381;ENSSSCP00000016171;	100518028
Sus_scrofa	MKX	ENSSSCG00000029783	Homeobox	ENSSSCP00000027729;	100620286
Sus_scrofa	NKX2-5	ENSSSCG00000036285	Homeobox	ENSSSCP00000041789;	100521411
Sus_scrofa	NR1D2	ENSSSCG00000027017	THR-like	ENSSSCP00000024812;ENSSSCP00000056438;	100621076
Sus_scrofa	E2F2	ENSSSCG00000032710	E2F	ENSSSCP00000033919;	110261113
Sus_scrofa	MIS18BP1	ENSSSCG00000004999	MYB	ENSSSCP00000005377;ENSSSCP00000019773;ENSSSCP00000021802;	100620483
Sus_scrofa	-	ENSSSCG00000033686	Homeobox	ENSSSCP00000045723;	-
Sus_scrofa	-	ENSSSCG00000022634	zf-C2H2	ENSSSCP00000057561;ENSSSCP00000041157;ENSSSCP00000053725;ENSSSCP00000020696;ENSSSCP00000051834;	100521069
Sus_scrofa	ZKSCAN8	ENSSSCG00000001201	zf-C2H2	ENSSSCP00000001270;ENSSSCP00000043495;ENSSSCP00000052346;	-
Sus_scrofa	SCRT1	ENSSSCG00000025879	zf-C2H2	ENSSSCP00000022011;	100515657
Sus_scrofa	NPAS2	ENSSSCG00000008171	bHLH	ENSSSCP00000024783;ENSSSCP00000039394;ENSSSCP00000048273;ENSSSCP00000040173;ENSSSCP00000008722;	100521893
Sus_scrofa	ZNF805	ENSSSCG00000036601	zf-C2H2	ENSSSCP00000034080;ENSSSCP00000049636;ENSSSCP00000051106;	110261311
Sus_scrofa	E2F6	ENSSSCG00000026161	E2F	ENSSSCP00000022506;	100737827
Sus_scrofa	HOXA5	ENSSSCG00000016703	Homeobox	ENSSSCP00000017693;	100499568
Sus_scrofa	AFF2	ENSSSCG00000012730	AF-4	ENSSSCP00000037434;ENSSSCP00000041528;ENSSSCP00000013534;	100512515
Sus_scrofa	GMEB1	ENSSSCG00000038872	SAND	ENSSSCP00000057929;ENSSSCP00000052169;ENSSSCP00000037101;	110261126
Sus_scrofa	ISX	ENSSSCG00000040934	Homeobox	ENSSSCP00000052822;	100626910
Sus_scrofa	ZNF688	ENSSSCG00000037875	zf-C2H2	ENSSSCP00000036315;ENSSSCP00000059448;	100515603
Sus_scrofa	ZNF184	ENSSSCG00000001164	zf-C2H2	ENSSSCP00000032655;ENSSSCP00000038484;ENSSSCP00000025687;ENSSSCP00000039387;ENSSSCP00000001233;	100620153
Sus_scrofa	BARHL1	ENSSSCG00000005730	Homeobox	ENSSSCP00000006139;	100152288
Sus_scrofa	E2F1	ENSSSCG00000007268	E2F	ENSSSCP00000007740;	100153846
Sus_scrofa	RASSF4	ENSSSCG00000029662	zf-C2H2	ENSSSCP00000050468;	100739398
Sus_scrofa	MAFF	ENSSSCG00000030165	TF_bZIP	ENSSSCP00000024532;	-
Sus_scrofa	ASCL4	ENSSSCG00000000159	bHLH	ENSSSCP00000000166;	100520021
Sus_scrofa	ID3	ENSSSCG00000039514	bHLH	ENSSSCP00000053457;	-
Sus_scrofa	ARID1B	ENSSSCG00000004064	ARID	ENSSSCP00000052978;ENSSSCP00000004391;ENSSSCP00000042400;ENSSSCP00000050537;ENSSSCP00000032279;	-
Sus_scrofa	XBP1	ENSSSCG00000030996	TF_bZIP	ENSSSCP00000032730;ENSSSCP00000056167;ENSSSCP00000048871;	100217386
Sus_scrofa	ZNF335	ENSSSCG00000007432	zf-C2H2	ENSSSCP00000032929;ENSSSCP00000007919;	100516768
Sus_scrofa	PKNOX2	ENSSSCG00000015211	Homeobox	ENSSSCP00000016132;ENSSSCP00000024474;	100525656
Sus_scrofa	ZNF619	ENSSSCG00000011271	zf-C2H2	ENSSSCP00000012017;	-
Sus_scrofa	SOX2	ENSSSCG00000037485	HMG	ENSSSCP00000046427;	407739
Sus_scrofa	PPARA	ENSSSCG00000000006	THR-like	ENSSSCP00000000007;	397239
Sus_scrofa	RREB1	ENSSSCG00000001021	zf-C2H2	ENSSSCP00000001092;	100153892
Sus_scrofa	BCL6B	ENSSSCG00000017927	ZBTB	ENSSSCP00000018992;ENSSSCP00000018992;ENSSSCP00000039759;	100517187
Sus_scrofa	ZNF684	ENSSSCG00000003979	zf-C2H2	ENSSSCP00000032663;ENSSSCP00000004300;	102167697
Sus_scrofa	STAT6	ENSSSCG00000040435	STAT	ENSSSCP00000000455;ENSSSCP00000019659;ENSSSCP00000000437;	100153518
Sus_scrofa	SP8	ENSSSCG00000031078	zf-C2H2	ENSSSCP00000039763;ENSSSCP00000052889;	-
Sus_scrofa	IRF3	ENSSSCG00000003178	IRF	ENSSSCP00000003447;ENSSSCP00000028920;	396656
